obj_id,MJD,PLATE,FIBERID,ra,dec,index1
1237655691943936384,52409,924,163,230.67609,-2.1120194,16
1237655550745117093,null,null,null,null,null,22
1237651496297169059,51885,440,567,124.24626,50.398682,27
1237651272957231153,null,null,null,null,null,28
1237651496297169112,null,null,null,null,null,29
1237671071151030300,null,null,null,null,null,33
1237671685857345974,null,null,null,null,null,34
1237671561308143649,null,null,null,null,null,37
1237671071151030306,null,null,null,null,null,38
1237680328953168206,null,null,null,null,null,56
1237671939280339646,null,null,null,null,null,67
1237667292116090894,53699,2288,11,140.18413,19.592881,69
1237667292652175392,53700,2286,68,138.32025,19.229296,70
1237667486456610959,53795,2439,418,139.19941,18.422875,72
1237656530534662153,null,null,null,null,null,76
1237661115407204637,null,null,null,null,null,79
1237661115407008381,null,null,null,null,null,82
1237656563282214943,null,null,null,null,null,83
1237680474445513241,null,null,null,null,null,84
1237680474445578372,null,null,null,null,null,86
1237680329489711205,null,null,null,null,null,87
1237680329489646886,null,null,null,null,null,88
1237680474982121812,null,null,null,null,null,89
1237663231222153421,null,null,null,null,null,92
1237680312300994620,null,null,null,null,null,100
1237652935108329486,52200,640,352,320.67777,-7.0714232,102
1237655748845437377,null,null,null,null,null,106
1237655748308697218,null,null,null,null,null,109
1237663229618684458,null,null,null,null,null,112
1237659324948545791,null,null,null,null,null,113
1237659149924892828,null,null,null,null,null,114
1237655347816038543,null,null,null,null,null,115
1237663144784429802,null,null,null,null,null,117
1237668297669804252,null,null,null,null,null,121
1237680246802022446,null,null,null,null,null,122
1237680264535277738,null,null,null,null,null,128
1237680264535015579,null,null,null,null,null,129
1237680243058868237,null,null,null,null,null,130
1237651252016054304,51884,432,36,116.9315,40.019466,131
1237680263998210185,null,null,null,null,null,132
1237680241447338007,null,null,null,null,null,136
1237657771786436672,null,null,null,null,null,137
1237673703968080203,51882,435,307,116.91786,40.41364,138
1237649918972067908,51877,430,13,29.895872,13.00652,148
1237649954408431880,null,null,null,null,null,149
1237670962155028486,null,null,null,null,null,151
1237649920045940797,null,null,null,null,null,152
1237680246265348146,null,null,null,null,null,153
1237680246801695197,null,null,null,null,null,154
1237658199660232834,null,null,null,null,null,156
1237658191074492457,null,null,null,null,null,157
1237658191610904599,52619,931,558,126.01634,31.080008,158
1237658200734171391,null,null,null,null,null,159
1237658191611494708,null,null,null,null,null,160
1237667442973802752,54205,2238,162,191.94217,27.120811,164
1237666229118046234,null,null,null,null,null,165
1237673756041937166,null,null,null,null,null,168
1237650760776548427,52375,326,47,172.24864,-3.1642845,173
1237650369941078039,52375,326,304,170.82808,-3.0469403,174
1237680272041050406,null,null,null,null,null,183
1237673756041740539,null,null,null,null,null,192
1237658297922486286,52325,576,338,156.35591,5.3585869,195
1237654601028075566,52355,574,234,153.56023,4.0270648,196
1237654605322780724,52355,574,264,153.30297,4.087276,197
1237654605860896940,null,null,null,null,null,198
1237666243601958493,null,null,null,null,null,206
1237666243601498248,null,null,null,null,null,208
1237666183492599850,null,null,null,null,null,222
1237658300598386805,52652,1193,353,136.91908,5.8968829,226
1237673326537080937,null,null,null,null,null,235
1237658300062171147,null,null,null,null,null,239
1237661121314488553,null,null,null,null,null,272
1237661082128745364,null,null,null,null,null,278
1237667211582832697,null,null,null,null,null,282
1237658188926550024,null,null,null,null,null,284
1237655502426603857,52410,977,537,258.68498,29.862837,289
1237679005019799620,null,null,null,null,null,291
1237679006093344897,null,null,null,null,null,292
1237655501889995340,null,null,null,null,null,295
1237653739338334368,null,null,null,null,null,300
1237656241707286673,null,null,null,null,null,317
1237656241706631388,null,null,null,null,null,318
1237656241707548857,null,null,null,null,null,319
1237658221138871558,null,null,null,null,null,330
1237651699226902739,null,null,null,null,null,346
1237651698690163150,null,null,null,null,null,347
1237673431764435156,null,null,null,null,null,348
1237679582155964599,null,null,null,null,null,353
1237679582155571389,null,null,null,null,null,355
1237657629514793168,null,null,null,null,null,356
1237678860094537753,null,null,null,null,null,357
1237657629514989578,52674,1201,279,138.52315,42.098055,360
1237653650773901338,51900,427,297,29.725746,12.637029,361
1237679582155702554,null,null,null,null,null,362
1237680316060795576,null,null,null,null,null,364
1237661967428419692,53120,1447,113,179.6471,42.419391,365
1237678860094472253,null,null,null,null,null,366
1237668349745627348,null,null,null,null,null,368
1237661966354022596,null,null,null,null,null,369
1237678892817187027,null,null,null,null,null,370
1237680316597534733,null,null,null,null,null,371
1237668349745889378,null,null,null,null,null,374
1237657608571715813,null,null,null,null,null,375
1237678918605537536,null,null,null,null,null,376
1237657629514989683,null,null,null,null,null,379
1237657608035369358,null,null,null,null,null,380
1237668349745758415,54231,2745,493,213.06319,15.548111,381
1237657594076660147,null,null,null,null,null,383
