obj_id,MJD,PLATE,FIBERID,index1
1237654867302548468,null,null,null,64925
1237648720668132127,null,null,null,64926
1237661418744840221,null,null,null,64946
1237658311332724785,54570,2461,15,64947
1237651249883971704,null,null,null,64950
1237661434854179089,null,null,null,64954
1237661434317307920,53108,1394,178,64955
1237661434317373459,53108,1394,177,64956
1237661434317570426,null,null,null,64957
1237661852552134908,null,null,null,64958
1237661360765009959,null,null,null,64959
1237680331628478884,null,null,null,64965
1237665330935234710,null,null,null,64980
1237680332702221027,null,null,null,64982
1237664089134137462,null,null,null,64989
1237678660905533722,null,null,null,64996
1237659896175394965,null,null,null,64998
1237659895638524453,51821,359,594,65002
1237655746706997293,null,null,null,65003
1237678439701741670,null,null,null,65004
1237659897248874913,null,null,null,65005
1237656529458430239,51999,362,220,65007
1237668649320448931,null,null,null,65017
1237657776610148577,55504,3755,696,65018
1237657401873531091,55486,3753,58,65019
1237657776610541786,null,null,null,65020
1237656569722569451,52914,1115,331,65039
1237669762785345760,null,null,null,65041
1237666428280963194,null,null,null,65043
1237666273663648083,55923,5126,540,65054
1237658188927599849,null,null,null,65059
1237657067403411578,55811,4373,848,65060
1237678881026998434,null,null,null,65062
1237657067402952876,null,null,null,65063
1237669762263482619,null,null,null,65070
1237669696765165846,null,null,null,65071
1237659119331770509,null,null,null,65088
1237655465396142421,null,null,null,65090
1237655347820888195,52374,815,390,65092
1237659119868510563,null,null,null,65093
1237655349968371866,null,null,null,65094
1237661873481187395,56366,6621,882,65105
1237661871870640132,53084,1375,256,65106
1237661850399342620,53083,1374,108,65107
1237663233369703559,null,null,null,65108
1237666246288081286,null,null,null,65109
1237666430435132873,null,null,null,65110
1237666245751144479,null,null,null,65114
1237667485381427241,55913,5297,140,65116
1237661388690424256,null,null,null,65126
1237659162813792330,null,null,null,65127
1237661388690424213,null,null,null,65128
1237659325492822239,null,null,null,65129
1237659932145090734,null,null,null,65134
1237651715335455107,null,null,null,65140
1237654954277404762,56103,6027,652,65141
1237679584845037982,null,null,null,65142
1237669771378884692,null,null,null,65153
1237655369278095464,57063,7283,481,65157
1237654381980156040,57063,7283,690,65158
1237655109442011250,57096,7286,970,65159
1237654654182359072,57096,7286,962,65160
1237655369278619994,null,null,null,65161
1237654654182424668,53764,2404,574,65164
1237666274741715020,55895,5112,140,65166
1237658204515926085,56385,6743,560,65179
1237671991351902410,null,null,null,65189
1237668298745577557,54880,3235,396,65194
1237667917036191816,null,null,null,65195
1237668298745643087,54502,2617,385,65196
1237667917035798675,null,null,null,65197
1237680328942420376,null,null,null,65200
1237667781221351474,54141,2513,207,65202
1237655746701099057,null,null,null,65209
1237661434319208615,56076,6061,398,65214
1237661434319208691,null,null,null,65215
1237661362914066555,53112,1396,528,65216
1237661435929428324,null,null,null,65217
1237661362913935493,53112,1396,448,65218
1237680474434831203,null,null,null,65222
1237680474972029597,null,null,null,65223
1237655746701033797,null,null,null,65232
1237655746700968396,null,null,null,65233
1237651066812956755,52370,596,395,65241
1237651066812235797,54498,2882,482,65242
1237654400762446118,null,null,null,65243
1237654639687631461,null,null,null,65244
1237655374650081303,52438,820,203,65245
1237655502960132377,52438,820,516,65246
1237651066811973768,null,null,null,65247
1237668680466762006,null,null,null,65252
1237674655838896572,null,null,null,65253
1237673472032637377,null,null,null,65266
1237655504569106793,56104,6037,84,65267
1237673451094868595,null,null,null,65280
1237663228548484732,null,null,null,65294
1237667229843456179,null,null,null,65297
1237678893362643117,null,null,null,65299
1237651540319863231,56741,7111,676,65303
1237651714801467408,53524,2181,343,65308
1237655129841664044,null,null,null,65309
1237654953206677813,52079,633,323,65311
1237655130378731696,null,null,null,65312
1237654952133132642,null,null,null,65313
1237672763372142672,56209,6148,820,65316
1237672763908948235,null,null,null,65317
1237652942633763283,null,null,null,65318
1237651538172706957,56748,7114,506,65319
1237651272435302458,56748,7114,716,65320
1237651538710036655,null,null,null,65321
1237651272434647167,51942,491,314,65322
1237668353504510707,null,null,null,65324
1237662981577180208,null,null,null,65334
1237670016740687921,null,null,null,65344
1237671257435668676,null,null,null,65345
1237673326536818885,null,null,null,65348
1237665583799992330,null,null,null,65355
1237668629992636549,null,null,null,65358
1237668353504248120,null,null,null,65360
1237661117553443180,null,null,null,65364
1237673452173394406,null,null,null,65374
1237655108379869347,56685,6840,56,65375
1237655107843194899,54570,2461,119,65376
1237657117869080701,null,null,null,65383
1237668660064158843,null,null,null,65385
1237657118406606965,55505,3756,278,65403
1237657401336922185,null,null,null,65404
1237657401337315356,52641,1061,498,65405
1237657776610738329,null,null,null,65408
1237661435383840785,56810,7416,509,65414
1237661434846117930,null,null,null,65415
1237661362368217201,null,null,null,65416
1237665535471648858,53880,2208,36,65418
1237678540089786822,null,null,null,65423
1237678578752815481,null,null,null,65424
1237678578752880670,null,null,null,65425
1237680299426119925,null,null,null,65426
1237671689618587969,53880,2208,194,65433
1237671689618588170,null,null,null,65434
1237659743703400998,null,null,null,65439
1237680097550794912,null,null,null,65442
1237678661433426058,null,null,null,65443
1237678661433229420,null,null,null,65444
1237680097550598161,null,null,null,65445
1237665127479705747,54180,2121,134,65451
1237668678852151003,null,null,null,65458
1237668734686528119,null,null,null,65460
1237669762801337050,null,null,null,65462
1237669697840283926,null,null,null,65464
1237680307475775578,null,null,null,65465
1237680307475775643,null,null,null,65466
1237662503760757073,null,null,null,65467
1237659161200951643,56066,5192,906,65468
1237659132754002196,56092,6052,454,65470
1237668726628287056,null,null,null,65471
1237665570364981424,56485,6309,342,65489
1237662701863567567,null,null,null,65490
1237651538725568688,56487,6312,430,65491
1237662701863633055,null,null,null,65492
1237665569828373027,null,null,null,65493
1237656529458233554,null,null,null,65494
1237662504298086588,53149,1421,21,65496
1237661465454248083,52822,1408,379,65497
1237661465454313922,null,null,null,65499
1237662474233315422,55751,5005,856,65503
1237668736297861878,null,null,null,65505
1237662300820471854,53433,1668,246,65506
1237661957757993174,null,null,null,65507
1237661361296834678,56780,7408,589,65508
1237679255211016399,null,null,null,65509
1237679255747821810,null,null,null,65510
1237648703531188297,null,null,null,65511
1237655746706604507,null,null,null,65517
1237656562754125932,null,null,null,65519
1237678622247354612,null,null,null,65525
1237678661980586140,null,null,null,65526
1237678622783504518,null,null,null,65527
1237678622783832223,null,null,null,65528
1237678623320834091,null,null,null,65529
1237661360764551181,null,null,null,65531
1237655549133193696,null,null,null,65533
1237671069529669684,53712,2336,354,65534
1237671068992733545,null,null,null,65536
1237664853641854983,null,null,null,65546
1237664853641658462,53467,1838,385,65550
1237664673794293865,null,null,null,65552
1237669761711276260,null,null,null,65554
1237680332164236551,null,null,null,65555
1237680332164170419,null,null,null,65556
1237680308004848343,null,null,null,65557
1237662341090967788,53149,1570,430,65558
1237669762248279158,null,null,null,65559
1237667486455365718,null,null,null,65563
1237670451059687563,null,null,null,65564
1237670451059622194,55987,5301,376,65565
1237667485918232646,null,null,null,65566
1237667485381820518,null,null,null,65567
1237667485918756911,null,null,null,65568
1237663782598213695,56980,7845,941,65570
1237678890667737226,null,null,null,65572
1237678890668326989,null,null,null,65573
1237678881031782483,null,null,null,65574
1237680099703390352,null,null,null,65575
1237655749385453999,null,null,null,65604
1237655747774644399,null,null,null,65607
1237648720668722078,null,null,null,65612
1237646796526715392,null,null,null,65613
1237670961625628945,54082,2444,458,65614
1237670962162041111,54082,2444,348,65615
1237679503781527619,null,null,null,65624
1237679503781462254,null,null,null,65625
1237650795135959280,null,null,null,65626
1237648720668721370,null,null,null,65628
1237661464914755608,55719,4961,434,65629
1237676583734020836,null,null,null,65657
1237666275815063673,55895,5112,726,65666
1237680073397895237,55895,5112,838,65667
1237680073397829810,55895,5112,796,65669
1237651250416844826,56657,5715,715,65695
1237651250952405189,null,null,null,65696
null,null,null,null,65710
1237656530538070240,null,null,null,65711
1237671936042991966,null,null,null,65712
1237655504034332922,null,null,null,65713
null,null,null,null,65715
null,null,null,null,65718
1237659897792233583,null,null,null,65719
1237659897255362680,null,null,null,65720
1237678619007975476,54414,2815,91,65721
1237656896140607676,null,null,null,65722
null,null,null,null,65724
1237660554375463349,null,null,null,65725
1237660554375528992,null,null,null,65726
1237661435929297030,null,null,null,65727
null,null,null,null,65766
1237662701863305399,null,null,null,65767
1237662701326303258,null,null,null,65768
1237665569828110491,null,null,null,65769
1237656563288441084,null,null,null,65770
null,null,null,null,65777
null,null,null,null,65781
null,null,null,null,65793
1237656530529288415,null,null,null,65794
1237656529992417603,null,null,null,65795
1237655746704244810,null,null,null,65796
null,null,null,null,65802
1237671992425513034,null,null,null,65803
1237664087524376621,null,null,null,65804
1237655463233978529,56447,6967,436,65818
1237655109454135332,56447,6967,292,65819
1237666299969865387,null,null,null,65824
1237667550885904396,53856,2505,460,65829
1237667429034033178,54864,3221,168,65831
1237665024905511005,null,null,null,65832
1237671990814965795,null,null,null,65834
1237671769610649686,52345,613,542,65842
1237671769610584225,52345,613,541,65843
1237660553841148547,null,null,null,65844
1237668649320186005,null,null,null,65846
1237655106770370715,56685,7117,376,65847
1237661388137627891,null,null,null,65848
1237658310797099033,56453,6829,550,65849
1237661388137693229,52791,1319,409,65850
1237661418208362587,52791,1319,331,65852
1237651714264203489,null,null,null,65857
1237655504569041254,null,null,null,65858
1237655503495299207,null,null,null,65859
1237671934430347351,56106,6037,170,65860
1237655504032039507,null,null,null,65861
1237653614799749284,52316,559,330,65862
1237651249881809091,56637,7087,800,65863
1237663233366949976,null,null,null,65865
1237651250991923441,null,null,null,65866
1237672763369914583,null,null,null,65877
1237672763369980065,null,null,null,65878
1237679502166131013,null,null,null,65880
1237666275291234510,null,null,null,65883
1237668680994455856,null,null,null,65886
1237668679920255188,null,null,null,65887
1237674893667009343,null,null,null,65894
1237678598634537066,55528,4309,231,65896
1237678621697769532,null,null,null,65897
1237673452710265330,null,null,null,65901
1237672003162473104,null,null,null,65905
1237662301914398864,null,null,null,65911
1237668648789018442,null,null,null,65915
1237673328145006810,null,null,null,65922
1237667233587921013,null,null,null,65924
1237667234124202031,null,null,null,65925
1237673328681746501,null,null,null,65928
1237667245948076082,null,null,null,65932
1237653614258749565,null,null,null,65933
1237653613721682113,null,null,null,65934
1237653612648267859,52000,554,98,65935
1237662474232987985,55751,5005,724,65936
1237678888522678353,null,null,null,65937
1237678879958958110,null,null,null,65939
1237662337328676883,52825,1404,548,65943
1237662473692971073,53142,1418,165,65944
1237661118089986849,null,null,null,65962
1237667444582973581,null,null,null,65968
1237667324332081201,53847,2235,536,65969
1237667486454579454,null,null,null,65978
1237670359793008654,55926,5292,186,65980
1237662664294531294,53174,1571,222,65988
1237662664294269658,null,null,null,65989
1237662664294596699,null,null,null,65990
1237668502759866828,null,null,null,65992
1237665582718845213,56452,6319,234,65993
1237662701330366560,56103,6027,970,65994
1237665569831911768,56103,6027,888,65995
1237670446227261081,null,null,null,65997
1237668354040922891,null,null,null,66012
1237667431717208423,56306,6409,588,66016
1237661210433224853,null,null,null,66031
1237658203983184054,null,null,null,66032
1237671068455993449,null,null,null,66044
1237671067919254111,null,null,null,66047
1237666215692075286,53359,2063,407,66048
1237659326029627528,56077,5190,856,66049
1237657606955991100,null,null,null,66065
1237654953744990383,null,null,null,66068
1237654953208185238,null,null,null,66069
1237671936042729822,null,null,null,66070
1237655504033874338,null,null,null,66071
1237659162274431299,null,null,null,66072
1237667914881499533,null,null,null,66082
1237667914345414864,54476,2609,214,66083
1237668496857825338,null,null,null,66084
1237671067919450273,null,null,null,66085
1237671069529800812,null,null,null,66086
1237661434849001476,null,null,null,66091
1237661434848608388,null,null,null,66092
1237657594608157306,null,null,null,66095
1237668629454062235,null,null,null,66100
1237655749385191428,null,null,null,66103
1237656562754125858,null,null,null,66106
1237655748854219217,null,null,null,66108
1237655108381311104,null,null,null,66110
1237651539262242859,null,null,null,66121
1237651538725372111,56487,6312,536,66123
1237651540335919309,null,null,null,66124
1237673327075787006,null,null,null,66126
1237671257437634658,54368,2679,188,66127
1237655125545255288,null,null,null,66131
1237655747780608347,null,null,null,66142
1237656563290931503,null,null,null,66143
1237655748317282532,null,null,null,66146
1237662224076570727,53115,1642,81,66149
1237664294762250254,55247,3854,730,66150
1237662224612851833,53115,1642,360,66151
1237662662668255381,null,null,null,66153
1237664294762250430,53115,1642,198,66154
1237671256364023943,54389,2697,53,66159
1237671256901222521,null,null,null,66160
1237673327075655758,54368,2679,225,66161
1237678892287131844,null,null,null,66170
1237669519045689409,53710,2310,420,66171
1237669762800615603,56181,5060,59,66172
1237669762262565113,null,null,null,66173
1237669698913632289,54082,2325,414,66174
1237666273669873724,53327,2046,48,66186
1237678583579017411,null,null,null,66188
1237667551419498518,53876,2486,623,66209
1237667551419498501,56354,6418,985,66210
1237667551956500546,null,null,null,66211
1237667321639600356,null,null,null,66212
1237661212582805513,null,null,null,66217
1237661212582346807,52734,1289,402,66218
1237661212045476001,null,null,null,66219
1237666209262928153,null,null,null,66226
1237654954817945621,54232,2192,31,66234
1237665570371928447,null,null,null,66235
1237651252065534355,null,null,null,66248
1237651251528598727,null,null,null,66249
1237655108379541617,null,null,null,66253
1237655109452955721,null,null,null,66254
1237655108916477954,52398,957,397,66255
1237651252065403491,null,null,null,66263
1237668573087990977,null,null,null,66267
1237663789031948314,54437,1873,239,66273
1237663787958075418,54437,1873,212,66276
1237663788494749968,null,null,null,66277
