source_id,random_index
2212017765013152896,180723290
6791027809683841792,1116830620
6680720065838393088,1270518406
5781819969546528256,1508553976
1872307189291565056,1560327339
5707224389140512128,1550283996
5781854398003188608,200397729
3239530450817598080,1302211852
3239578520091272320,830550265
2021659286852448384,227125245
2212053052457860096,292901092
6791142158893726208,1682340411
6790903844043991680,1449169083
6791036468338015488,1245531224
6790985444126664064,1400862367
1716713271618770560,539186326
4415230812694612864,1274360781
5882828559445167872,131716738
5774180902058028672,1454201124
5774115004377585792,149418999
189367925579854592,1274642972
3442424293564615424,1446005693
4382950976666981376,291526898
5774124556385029888,346812001
6350177973988575232,398738785
6350223397561277440,1208236935
5965048767658307968,591045662
932193312675997056,1471362078
932308791461715712,1280846015
932179255247768704,1573444519
1148710993548158848,1230577818
2219177411063947136,681964636
210511328024202880,180917772
1148649764494519936,822358968
1148642656324274048,1438107514
6195471774517276544,619815605
1148477244248201344,1634880755
1148666257168527360,967191648
1148635573922531840,1413140186
6713043504375702016,1627002578
1716546042771752320,267882022
1716774466312554752,978554408
1716580643028125568,796873873
1716694408122136320,1284840435
1716803019254831616,399736383
1716441799621652096,1159107695
1716588339609989504,514430017
5965039804059661824,640248129
1716560302063214720,7850943
189312022285083776,151192145
4793244632607156096,273484301
5856686089942960896,722207715
400240580611579648,1439631827
3972948583929502720,351921382
6074655237845559424,1422602948
6195570176512211200,324183168
1910184853766634624,1354308040
5519579643093033216,1078764632
5519576580784597632,1475821935
6004589134239908096,1685462511
5612126769458683392,529587506
5612147866345451392,1311516759
4098922895301726976,126009544
4098916057713507968,1323761523
457199440459458304,606140619
457161545964141696,1574426249
6004613284836628480,1544588253
2188825147765622656,608199890
6059845881392629632,568975786
635777617916154368,323353898
635877398595885184,1493936483
5612159686088986624,25367640
635577472440075904,342116293
2950257565845256576,1127070862
6869581902534631168,1331682708
6869592141738355968,615341221
1364054915694481408,142189441
4793113859443261568,1102580742
4793139487512016768,1598397025
339940446662972544,384397619
339910137078220928,382813064
5521538526159762816,609163968
339985316184848384,1182346932
1656279645790401280,808959165
1910177530846990208,742145181
464384100412451840,284399668
1910163202836045440,1058299881
1910072836723679104,1386659222
1910053698353680256,869507251
1910057580999758464,1239155978
6658443406207212288,1134659590
6149187175415782528,1660686602
2274303483811748864,501544783
2274429515331927296,820515839
2274294378481989376,89290421
464343482902474752,1327981992
1951247489901920384,756922528
5342664511368118912,665424852
5807349903695904896,265670850
3157731737812115840,1305369276
2871985497725510272,1061578619
1816260859672042752,1532038341
6898954221799625984,480592943
6149140274372558464,442451335
3599277976682162432,787907753
1818419505942985472,1429820977
1656367469281682176,1614821977
1656156397409182208,547652271
3341034787313908352,649468795
1656251303301795200,1493985784
3341165629197690880,1385915819
2030343676385937408,633244575
2014482838857081216,449889708
1595427724506288256,141972248
1595509500683864064,43784307
1595228094426813952,1355934387
3625048398933347200,269481375
2070680802295564928,502107681
2183233001574256512,968944480
2183209082893557376,1414975383
5807360245978053632,501287072
3954167379139173632,1255785902
1775877717431145216,119735492
5807361315434003328,182666452
961598514212297472,1291688181
5807327466783679360,539870075
3954024030310454400,1539012053
2439895673031240448,1368434106
2439718930832024960,15294889
2439679103599808640,64421407
2439670621039766912,381267549
920780618202557312,908825163
2439658281598240128,89606828
5807334751049942400,465930073
5807319632767564544,834233919
2439748991307934464,954997264
2439845615187385856,325826980
853585476899106560,1003099156
920807178280258176,1346119804
219741217041288960,37789867
3558119103222433792,118120093
3558357452430786944,411188013
1818397584423882752,1646809093
2250407007330968192,1574923797
2250247788601477504,951435558
2250362889427549696,827061437
5886913318152957696,817572364
4260307154736705792,255007428
76913488358361472,1408308556
77036835523651200,1056298457
5580018521666969472,800884030
77101569271041280,191917033
76977912867771392,512268126
1775755740360106112,786662202
1775904900280198272,342072888
4094927544922331008,914528441
709038249473430272,508196414
709004920527186816,1201235523
709051168734737024,720290566
709168747759337600,146366856
709223349679784064,572439519
3961972747760766720,1375645068
3962103585349141504,929521019
3961998375830065152,1226691684
3961791809378404096,170227953
4321327915483752576,427754035
6805171068271177344,868686858
6805158698765336704,942664133
886075117787700096,1366800370
5580011379137896192,1328011984
5580108612900235392,1354249014
5580068721245010688,928145745
