obj_id,thing_id,source_id,sdss_d,index1
1237655691943936384,61494019,4415230812694612864,0.060458990492979266,16
1237655550745117093,100299064,4382950976666981376,0.04237014600854636,22
1237651496297169059,488015866,932193312675997056,0.0187446330026258,27
1237651272957231153,468143990,932308791461715712,0.013801136330646703,28
1237651496297169112,488015931,932179255247768704,0.027383858460823703,29
1237671071151030300,562421740,1148649764494519936,0.04753042746317649,33
1237671685857345974,562496727,1148642656324274048,0.05351868023894383,34
1237671561308143649,562483191,1148666257168527360,0.011869307623509394,37
1237671071151030306,562421498,1148635573922531840,0.032741804087272494,38
1237680328953168206,384491681,1910184853766634624,0.028244017486617295,56
1237671939280339646,507688288,2188825147765622656,0.028950520971796515,67
1237667292116090894,283105870,635777617916154368,0.024525213304778217,69
1237667292652175392,281459644,635877398595885184,0.025953051114491216,70
1237667486456610959,273580550,635577472440075904,0.0413081293348007,72
1237656530534662153,480627760,1364054915694481408,0.051131105904746066,76
1237661115407204637,458468697,339940446662972544,0.038919755678068206,79
1237661115407008381,459462844,339985316184848384,0.02144897144763094,82
1237656563282214943,557998774,1656279645790401280,0.03569195646871296,83
1237680474445513241,383074952,1910177530846990208,0.059192973657964734,84
1237680474445578372,383232171,1910163202836045440,0.009800994990771677,86
1237680329489711205,386516722,1910072836723679104,0.01302196045398536,87
1237680329489646886,386361240,1910053698353680256,0.04714841791428984,88
1237680474982121812,385314144,1910057580999758464,0.05311555252169286,89
1237663231222153421,558295974,2274303483811748864,0.054179923392264843,92
1237680312300994620,390690472,2871985497725510272,0.06374874089076077,100
1237652935108329486,35369132,6898954221799625984,0.02482037697301954,102
1237655748845437377,558382312,1656367469281682176,0.07724297623375388,106
1237655748308697218,558128559,1656251303301795200,0.07881986531838228,109
1237663229618684458,529746194,2014482838857081216,0.04710709121621339,112
1237659324948545791,487528585,1595427724506288256,0.025999787292652413,113
1237659149924892828,489812658,1595509500683864064,0.05375647888202452,114
1237655347816038543,492753891,1595228094426813952,0.06782534916837052,115
1237663144784429802,459929560,2070680802295564928,0.05822404685921436,117
1237668297669804252,283512956,3954167379139173632,0.07111042885007839,121
1237680246802022446,262164828,1775877717431145216,0.05487907153687411,122
1237680264535277738,37412248,2439718930832024960,0.07828722132601644,128
